id	gene
167	OR5A2
168	IL1F10
169	NARR
170	LINC00457
171	LACRT
172	OR56A3
173	MIR218-1
174	CT47B1
175	LYZL1
176	CIDEA
177	HOXD12
178	MIR4720
179	KRTAP2-4
180	CCL8
181	GLT6D1
182	MIR548AA2
183	MIR933
184	POU1F1
185	LGALS13
186	DMRTA2
187	BTG4
188	CRISP1
189	KRTAP10-3
190	COX7B2
191	PAX4
192	GNGT2
193	CABP2
194	OR1F1
195	SPANXA2
196	CASP12
197	ACTRT2
198	CELA3B
199	TPSAB1
200	PDE6H
201	FXYD4
202	MRGPRG
203	ESM1
204	MIR591
205	OR10G2
206	SNORD114-13
207	LOC646268
208	MIR3125
209	STMND1
210	OR5AR1
211	MIR563
212	GKN2
213	LINC00159
214	SPINK14
215	KRTAP10-1
216	MBD3L4
217	MBD3L5
218	SBK2
219	MIR450A1
220	SNORD116-1
221	CHODL-AS1
222	HBG1
223	MIR4657
224	MYOD1
225	OPN1MW
226	MIR423
227	TMEM174
228	MIR4777
229	HOXA9
230	MS4A12
231	ITLN2
232	OR10C1
233	SYNPR-AS1
234	DEFB121
235	TIFAB
236	OR1S1
237	CCL23
238	SLAMF1
239	C1orf64
240	GUCA2A
241	IFNA21
242	PNLIPRP3
243	ARHGEF38-IT1
244	TEX13A
245	DCD
246	LYZL2
247	TRIML2
248	MIR1247
249	GPR141
250	UGT1A5
251	MIR4761
252	C9orf92
253	MIR4524B
254	LINC00029
255	SPANXN1
256	MIR612
257	MIR221
258	CGB8
259	WFDC10A
260	MIR4305
261	MIR9-1
262	SNORD91B
263	CALML3
264	LOC643441
265	NKX6-3
266	ASGR2
267	GSTA3
268	MIR4691
269	MIR4295
270	MIR130B
271	MBD3L2
272	POU4F3
273	IL22RA1
274	SUPT20HL2
275	UGT1A9
276	C6orf222
277	AMN
278	SIT1
279	STOML3
280	RBMXL2
281	TUBA4B
282	SDR42E1
283	ATXN3L
284	GTSF1
285	FEZF2
286	LOC344887
287	SSTR4
288	GATA6
289	PPBP
290	HS3ST2
291	CLEC4F
292	HNF4A
293	HBA2
294	NUP210P1
295	HBA1
296	PIWIL1
297	HOXB7
298	OR4K1
299	OR7C1
300	KRTAP5-11
301	OR56B1
302	MIR1307
303	ADTRP
304	DLX2
305	PSORS1C2
306	SERPINB3
307	FOXQ1
308	LOC339822
309	LY96
310	OR2G6
311	BOD1L2
312	C19orf59
313	PLA2G2D
314	OR8H1
315	SLC17A7
316	TNNT3
317	FRMD1
318	KISS1
319	GALP
320	INSL5
321	CRH
322	SEMA3G
323	GPIHBP1
324	LOC286135
325	LOC100507362
326	DNAJB8-AS1
327	UPK3A
328	C7orf34
329	KRT72
330	LOC388948
331	CLEC1B
332	FAM83F
333	CARD17
334	DKFZp434L192
335	OR52N2
336	GDF2
337	PRSS1
338	OR9G1
339	OR9G9
340	MAS1L
341	LOC340073
342	TBC1D21
343	DEFB125
344	KRT83
345	LOC339568
346	VN1R10P
347	OR2W1
348	SLC17A2
349	AWAT1
350	SCGB1D4
351	KRTAP4-7
352	FHL5
353	AKR1C4
354	P2RY10
355	TSPAN16
356	OR6C76
357	PRDM9
358	PRAMEF21
359	RTP2
360	ACSM2B
361	OR5B17
362	SLC6A18
363	VSTM1
364	OR1D4
365	OR51D1
366	OR9A4
367	LOC201651
368	POU3F3
369	HBD
370	GUCY2EP
371	LOC284661
372	LOC442497
373	SMCR9
374	RNASE12
375	CXorf61
376	TRAT1
377	WFDC13
378	LOC643037
379	CRYGB
380	MAGEB4
381	OR6B2
382	SERPINA11
383	OR51T1
384	KRT75
385	MIR4482-1
386	KRT16P1
387	BPIFC
388	HOXD9
389	SNORA17
390	FAM154A
391	CIB3
392	MMP26
393	KRT39
394	PSORS1C3
395	AFM
396	LCE2A
397	GM140
398	C17orf82
399	LOC100128787
400	C7orf66
401	CFC1B
402	SNORA35
403	SLC22A25
404	USP17L12
405	USP17L21
406	DNAJB3
407	WT1-AS
408	TLX1
409	EDN2
410	TECTB
411	AOAH-IT1
412	OR10H2
413	PTTG2
414	LINC00469
415	KRT71
416	SNORD70
417	KRTAP1-1
418	OR4D11
419	TLX1NB
420	DEFB132
421	OR6P1
422	PRAC
423	OR9G4
424	THBD
425	MIR138-1
426	MIR3115
427	TDO2
428	NTF3
429	PI3
430	MIR3616
431	NTF4
432	SATB2-AS1
433	TSGA10IP
434	C9orf106
435	LOC146481
436	FAM153B
437	MIR3940
438	MIR626
439	IFNA6
440	OTOP2
441	ADCYAP1
442	NPVF
443	LCN8
444	LOC149086
445	OR8B8
446	FOXD3
447	LELP1
448	IFNL1
449	LINC00841
450	OR7G3
451	OR5K4
452	PRAMEF12
453	MIR4763
454	OCSTAMP
455	VGLL1
456	LCE3E
457	CCL11
458	LINC00474
459	MIR1289-2
460	SNAR-F
461	SERPINA4
462	IL17C
463	MIR4744
464	NLRP7
465	LMX1A
466	SSTR3
467	MIR4263
468	FAM170A
469	LOC100505545
470	MIR16-2
471	SNORD95
472	LINC00446
473	MIR5010
474	HAO2
475	ANKRD63
476	SNORD52
477	MIR29C
478	TFAP2D
479	SUSD3
480	HMHB1
481	SNORD1B
482	SNORD4B
483	SNORA70D
484	SNORD6
485	LRRC72
486	SNORD81
487	LINC00161
488	CHRNA6
489	OR2T1
490	KRTAP5-10
491	BPIFB4
492	GCSAML-AS1
493	LINC00589
494	COL4A2-AS1
495	TAAR6
496	CCR7
497	VAX1
498	PCDHB1
499	RGL3
500	LOC100507391
501	MIR1182
502	LOC401463
503	NOX3
504	C7orf45
505	LOC284294
506	OR8B12
507	CCDC54
508	CGB7
509	FAM153A
510	TTTY9A
511	TTTY9B
512	LOC340074
513	AADAC
514	RGS13
515	CLDN10-AS1
516	LOC340107
517	SLC17A3
518	GCNT3
519	CARTPT
520	SIGLEC7
521	CD3E
522	IL22RA2
523	KNCN
524	ZAR1L
525	LRIT1
526	LOC284788
527	SEMG2
528	CST5
529	BLK
530	TGM6
531	PROKR1
532	LINC00347
533	HOXB13
534	LILRA2
535	CREB3L3
536	TRIM55
537	TREM2
538	SIGLEC5
539	CYP4F8
540	CXXC1P1
541	SP8
542	OR4C16
543	OR8D4
544	LOC100505964
545	LINC00442
546	RCVRN
547	P2RX3
548	LMAN1L
549	CTLA4
550	TAAR2
551	SPATA31A2
552	SIM1
553	PRLHR
554	LINC00421
555	KRT16P2
556	IFNW1
557	ERG
558	OR6C1
559	POTEA
560	MLIP-IT1
561	C11orf86
562	ENPP7
563	CNPY1
564	OR4B1
565	GMFG
566	AFP
567	CCDC70
568	CLDN23
569	LINC00661
570	KLK15
571	NLRP6
572	LCP2
573	FAM71B
574	SNORD116-22
575	GRAP2
576	SIGLEC12
577	FCER2
578	GPR144
579	KRTAP16-1
580	KIRREL3-AS3
581	CYP7A1
582	OR4X1
583	FGG
584	KLHL33
585	GCSAM
586	SYT8
587	OR9Q1
588	LINC00290
589	OR5D14
590	KRTAP4-1
591	FLJ20518
592	OR51F2
593	LCN12
594	OR2B3
595	OR10T2
596	OR1D2
597	GLYCAM1
598	ASCL3
599	CPN1
600	PLA2G1B
601	INSL4
602	VCX2
603	PTGER1
604	ELSPBP1
605	LY6G6F
606	OR4K15
607	NKX2-1
608	OR52A5
609	CRYBB1
610	INMT-FAM188B
611	OR4D1
612	SPRR2A
613	OR8B3
614	NAA11
615	OR10J5
616	MYH2
617	SRY
618	CDX4
619	CYP4Z2P
620	MAGEB6
621	ALDH3B2
622	CEACAM18
623	LRRC15
624	CACTIN-AS1
625	SAG
626	LINC00305
627	LOC100507600
628	ANXA8
629	OR2AG1
630	CLDN25
631	PRSS57
632	LOC100093698
633	ISM2
634	HPYR1
635	MYOZ2
636	LOC284798
637	GUCA2B
638	CLPSL1
639	IDO2
640	FABP12
641	LIPN
642	ACTBL2
643	TMPRSS11GP
644	SAMD12-AS1
645	XKR3
646	KRTAP9-3
647	OR5W2
648	OR5D16
649	PHOX2A
650	S100A5
651	LOC400558
652	SNORA5B
653	SNORD64
654	LOC100131726
655	PIP
656	DEFB134
657	OR6C2
658	KLRG2
659	LINC00582
660	LINC00462
661	LPAR3
662	ARMS2
663	TCF24
664	KLKP1
665	KRT33B
666	OR5K3
667	SPRR2B
668	LOC283332
669	UBE2MP1
670	KRT38
671	TMEM244
672	LOC285084
673	OR2M1P
674	LBP
675	OR1J2
676	MIR1291
677	MIRLET7A2
678	KLK3
679	DGAT2L6
680	ARHGEF3-AS1
681	TBX22
682	TGIF2LX
683	HAO1
684	MIR198
685	COX4I2
686	C10orf53
687	OR52E6
688	SPDYC
689	KRTAP12-3
690	TMPRSS11E
691	SNORA39
692	CPA6
693	MS4A5
694	SYNDIG1L
695	PVALB
696	XGPY2
697	MIR3935
698	OR56A4
699	CCM2L
700	GSTTP1
701	SNORA36B
702	SOX17
703	LHX8
704	AADACL2
705	MYH8
706	LINC00595
707	MIR548I2
708	OR5L1
709	XG
710	MACC1-AS1
711	CLCNKB
712	MIR3685
713	CYP4A22
714	MIR545
715	ANKRD2
