gene	deg_total	group
VPREB1	4	OPC
VTRNA1-3	2	OPC
WFDC10B	4	OPC
WFDC5	0	OPC
XAGE3	0	OPC
AIF1	0	OPC
AMTN	14	OPC
ASB12	0	OPC
AVP	0	OPC
C20orf85	7	OPC
CCL21	1	OPC
CDA	5	OPC
CSN2	1	OPC
CYBA	0	OPC
DEFB112	0	OPC
DEFB118	8	OPC
DUSP21	8	OPC
ELANE	1	OPC
FAM9B	4	OPC
FCN2	1	OPC
FGF4	1	OPC
FOXI3	12	OPC
FTMT	1	OPC
GIMD1	11	OPC
GIP	2	OPC
GRP	1	OPC
GSTA5	4	OPC
HBBP1	8	OPC
HES3	4	OPC
HORMAD1	2	OPC
IFNB1	1	OPC
IGSF23	1	OPC
KRT1	0	OPC
KRTAP1-4	3	OPC
KRTAP2-2	5	OPC
KRTAP25-1	2	OPC
KRTAP29-1	5	OPC
KRTAP6-1	0	OPC
KRTAP8-1	4	OPC
LINC00207	9	OPC
LINC00626	0	OPC
LOC100132735	0	OPC
LOC100505622	4	OPC
LOC100506393	0	OPC
LOC100507205	5	OPC
LOC150185	15	OPC
LOC283403	1	OPC
LOC728012	2	OPC
LOC728040	2	OPC
LRRC3-AS1	7	OPC
MIR1206	0	OPC
MIR1243	10	OPC
MIR16-1	11	OPC
MIR19B1	3	OPC
MIR206	0	OPC
MIR208A	0	OPC
MIR22	0	OPC
MIR24-1	0	OPC
MIR3175	0	OPC
MIR3177	0	OPC
MIR320A	1	OPC
MIR335	5	OPC
MIR3614	0	OPC
MIR3675	1	OPC
MIR3689B	0	OPC
MIR411	0	OPC
MIR424	1	OPC
MIR4318	2	OPC
MIR4321	4	OPC
MIR433	9	OPC
MIR4427	11	OPC
MIR4472-1	11	OPC
MIR4526	9	OPC
MIR4747	0	OPC
MIR4762	2	OPC
MIR4770	2	OPC
MIR4774	0	OPC
MIR4789	17	OPC
MIR4796	0	OPC
MIR5091	2	OPC
MIR548H3	1	OPC
MIR642A	1	OPC
MIR650	5	OPC
MIR675	0	OPC
MIR711	4	OPC
MIR891B	8	OPC
NCR3	9	OPC
NDFIP2-AS1	1	OPC
NEUROG3	1	OPC
NKX2-4	0	OPC
NPBWR1	1	OPC
OR10A6	0	OPC
OR13H1	0	OPC
OR1A2	3	OPC
OR5P3	0	OPC
OR6C70	1	OPC
OR6N2	16	OPC
OR8J3	3	OPC
P2RX2	11	OPC
PAEP	1	OPC
PAGE5	8	OPC
PDHA2	0	OPC
POM121L12	1	OPC
PRAMEF13	5	OPC
PRG3	11	OPC
PSKH2	0	OPC
RBMY1B	2	OPC
RBMY1J	3	OPC
RETNLB	3	OPC
RNASE3	1	OPC
RNASE8	1	OPC
RNF223	1	OPC
SERPINA6	0	OPC
SIX3	2	OPC
SNAR-G1	1	OPC
SNORA38B	0	OPC
SNORD114-15	0	OPC
SNORD114-24	1	OPC
SNORD116-29	5	OPC
SNORD32B	5	OPC
SNORD36C	11	OPC
SNORD58B	1	OPC
SNORD82	3	OPC
SNORD88A	1	OPC
SNORD90	1	OPC
SPATA3	10	OPC
SPO11	17	OPC
TAS2R38	14	OPC
TBL1Y	17	OPC
TCF23	0	OPC
THEG5	2	OPC
TLX3	2	OPC
TNNT2	2	OPC
TNP2	7	OPC
TPSD1	0	OPC
TRPC2	8	OPC
TSPY4	1	OPC
VIP	0	OPC
XAGE2	3	OPC
XAGE2B	15	OPC
SIGLEC6	11	OPC
HOXC8	0	OPC
OR2T2	0	OPC
C2CD4B	1	OPC
OR4N4	0	OPC
SERPINB5	1	OPC
TH	8	OPC
FEZF1-AS1	7	OPC
FLJ46300	3	OPC
OR1F2P	3	OPC
CCR4	1	OPC
OR2A12	2	OPC
LILRB5	2	OPC
TSPAN32	1	OPC
OR13C3	1	OPC
BPIFB3	0	OPC
OR6C65	4	OPC
CXCL10	1	OPC
SERPINA13P	1	OPC
LINC00251	0	OPC
CYP26A1	0	OPC
OR52K1	1	OPC
OR2A14	1	OPC
CCDC166	0	OPC
OR11G2	2	OPC
CEACAM16	1	OPC
SERPINB4	3	OPC
OR13F1	2	OPC
CTAG2	1	OPC
PRB3	0	OPC
LINC00208	0	OPC
MYF6	11	OPC
KLK8	2	OPC
S100Z	15	OPC
RNASE9	5	OPC
LOC100130275	4	OPC
OR2V2	8	OPC
AGXT2	2	OPC
MSC	0	OPC
PAX2	15	OPC
UTS2R	8	OPC
TMEM114	1	OPC
HOXC13	5	OPC
SPACA3	0	OPC
LINC00619	1	OPC
NKX3-2	2	OPC
OR5T1	0	OPC
GH2	3	OPC
OR1L3	3	OPC
EXOC3L4	6	OPC
GTSF1L	2	OPC
BET3L	3	OPC
TTTY11	17	OPC
TCP10	0	OPC
KRT33A	1	OPC
LYZL4	3	OPC
TM4SF5	1	OPC
FATE1	2	OPC
KRT36	2	OPC
OR10W1	4	OPC
MAGEA2	3	OPC
BMP15	6	OPC
IFNA10	1	OPC
OR51A4	0	OPC
LINC00659	1	OPC
C15orf53	2	OPC
PLA2G4D	0	OPC
CD300LF	4	OPC
C10orf120	11	OPC
HOXC6	3	OPC
CLNK	1	OPC
LOC643733	1	OPC
UGT1A3	9	OPC
SNORD116-8	0	OPC
OR6K6	3	OPC
GLYATL3	10	OPC
B4GALNT2	2	OPC
OTOP3	8	OPC
TEX28	5	OPC
C17orf105	3	OPC
PRAMEF5	1	OPC
KRT16P3	10	OPC
LINC00317	2	OPC
C20orf78	0	OPC
HOXC9	1	OPC
LINC00443	14	OPC
OR52M1	4	OPC
HIST1H2APS1	4	OPC
OR2C3	1	OPC
TPRX1	2	OPC
MS4A15	2	OPC
GPRC5D	8	OPC
OR51G1	6	OPC
FEZF1	11	OPC
FOXN1	7	OPC
ASB9	0	OPC
HOXA11-AS	3	OPC
OR8D2	11	OPC
DNMT3L	8	OPC
OR5D13	2	OPC
LOC388553	2	OPC
MIR600	1	OPC
HHEX	10	OPC
LGALS7B	0	OPC
OR2F1	8	OPC
PTH2	0	OPC
LHX6	0	OPC
SPRR2G	1	OPC
GZMB	7	OPC
OR6C74	12	OPC
KC6	1	OPC
BSND	3	OPC
MIR3653	1	OPC
OR5V1	0	OPC
MIR2277	0	OPC
LAIR2	7	OPC
TEX37	0	OPC
LOC646862	5	OPC
FLJ41350	14	OPC
UBASH3A	0	OPC
CLDN14	1	OPC
HS3ST4	1	OPC
LOC100133461	7	OPC
UGT1A4	9	OPC
MIR4999	1	OPC
LOC100286922	9	OPC
USP17L19	3	OPC
FOLR3	1	OPC
TRIM40	5	OPC
ODAM	3	OPC
LOC389033	1	OPC
NEU2	0	OPC
RAET1L	1	OPC
C20orf141	2	OPC
FLJ42969	1	OPC
CCDC179	1	OPC
NREP-AS1	6	OPC
KIF12	0	OPC
KRT78	5	OPC
OTOL1	8	OPC
IFNA8	1	OPC
LCE6A	1	OPC
HTR1B	2	OPC
LOC154872	3	OPC
RFPL4B	0	OPC
DPYD-AS1	4	OPC
OR2G2	3	OPC
LOC100507632	1	OPC
OR10A4	0	OPC
MIR556	0	OPC
HOXA10-HOXA9	7	OPC
LOC84931	0	OPC
SHH	2	OPC
LCE4A	1	OPC
OR2B11	9	OPC
OR51B4	14	OPC
MIR645	0	OPC
DNAJB8	1	OPC
DIAPH3-AS1	1	OPC
SPANXN5	3	OPC
IBSP	9	OPC
WFDC9	1	OPC
C12orf54	0	OPC
GPHB5	4	OPC
OR5A2	3	OPC
IL1F10	1	OPC
FFAR1	4	OPC
LOC285548	4	OPC
MIR621	0	OPC
LEUTX	6	OPC
OSR2	0	OPC
CYTH4	0	OPC
CMA1	7	OPC
SNORD72	2	OPC
LINC00457	6	OPC
TCP10L2	0	OPC
ANGPT4	0	OPC
TAAR1	5	OPC
MIR24-2	0	OPC
OR56A3	0	OPC
TAS2R41	0	OPC
MIR1-2	5	OPC
C6orf15	0	OPC
SNAR-C3	10	OPC
LOC100130480	10	OPC
CT47B1	1	OPC
OR3A2	3	OPC
SCXA	11	OPC
SCXB	11	OPC
TTTY4	2	OPC
TTTY4B	2	OPC
TTTY4C	2	OPC
MIR548Q	0	OPC
KRTAP3-3	5	OPC
CIDEA	7	OPC
C9orf53	6	OPC
GNG13	0	OPC
CTSG	0	OPC
MIR3692	1	OPC
LOC340094	10	OPC
SCGB2A2	3	OPC
PDZK1IP1	0	OPC
KRTAP2-4	4	OPC
GAST	0	OPC
ASCL2	1	OPC
SNORD116-28	1	OPC
KRTAP19-8	6	OPC
DEFB104A	5	OPC
DEFB104B	5	OPC
OPN1MW2	2	OPC
POU1F1	5	OPC
MIR3140	0	OPC
CCDC148-AS1	0	OPC
LOC732275	14	OPC
PRKACG	10	OPC
TAS2R60	1	OPC
MIR4306	1	OPC
MIR550B1	0	OPC
FGF16	1	OPC
CRISP1	5	OPC
DEFB123	0	OPC
RIPK3	0	OPC
BPIFA2	1	OPC
COX7B2	5	OPC
GNGT1	6	OPC
MMP7	1	OPC
CABP2	0	OPC
OR1F1	0	OPC
OR6C68	5	OPC
LOC340113	1	OPC
NOTO	0	OPC
DEFB103A	1	OPC
CASP12	7	OPC
ACTRT2	0	OPC
C5orf52	0	OPC
ODF1	0	OPC
XPNPEP2	3	OPC
IFNA14	3	OPC
KRTAP10-8	4	OPC
SAA1	2	OPC
FXYD4	2	OPC
CSTL1	2	OPC
IL36G	6	OPC
LINC00523	2	OPC
OR51B2	0	OPC
SPERT	1	OPC
LINC00398	0	OPC
ESM1	1	OPC
BTNL3	8	OPC
OR52R1	8	OPC
SAA4	8	OPC
MIR3179-1	4	OPC
MIR3179-2	4	OPC
MIR3179-3	4	OPC
NXF3	2	OPC
OR10G2	12	OPC
MIR636	1	OPC
IQCF1	0	OPC
LCN1	1	OPC
MIR3684	4	OPC
MIR4724	1	OPC
MT1DP	5	OPC
FOLR4	4	OPC
LCE2D	9	OPC
SMR3A	4	OPC
SPRR2D	6	OPC
STMND1	6	OPC
OR14J1	8	OPC
FRG2B	2	OPC
LOC100507003	5	OPC
TMED11P	0	OPC
LINC00229	4	OPC
MIR563	0	OPC
MC3R	4	OPC
GKN2	11	OPC
DHRS7C	3	OPC
OR10V2P	0	OPC
KRTAP10-1	3	OPC
MIR1226	6	OPC
FDCSP	6	OPC
OR4D5	6	OPC
FMR1NB	0	OPC
MIR663A	1	OPC
AMELX	6	OPC
KRTAP9-4	0	OPC
LINC00028	1	OPC
MIR497	10	OPC
OXT	1	OPC
MBD3L4	2	OPC
MBD3L5	2	OPC
SBK2	1	OPC
MIR450A1	5	OPC
SNORA69	1	OPC
MIR130A	1	OPC
KRTAP10-9	4	OPC
KRTAP10-6	7	OPC
SNORD116-11	1	OPC
MIR620	1	OPC
MFSD6L	7	OPC
SNORA2B	0	OPC
MIR4256	2	OPC
MIR499A	3	OPC
GAGE2C	10	OPC
MIR3939	0	OPC
RIPPLY1	0	OPC
PAR4	1	OPC
MIR32	2	OPC
LOC100130700	0	OPC
TMEM174	1	OPC
MIR4777	7	OPC
MIR4644	0	OPC
FMO9P	4	OPC
TTTY12	10	OPC
REG1A	0	OPC
SNORA11B	2	OPC
HOXA9	3	OPC
ZCCHC5	0	OPC
MS4A12	4	OPC
LRRC37A5P	1	OPC
PITX3	0	OPC
ITLN2	8	OPC
CLDN8	0	OPC
OR10C1	0	OPC
VAV3-AS1	8	OPC
LRRC3C	2	OPC
DEFB121	9	OPC
C8orf87	1	OPC
PRL	2	OPC
CDRT7	9	OPC
KRTAP19-1	7	OPC
TIFAB	1	OPC
OR1S1	17	OPC
PRDM13	1	OPC
CCL23	1	OPC
RNASE2	1	OPC
TAAR8	4	OPC
MIR103A2	1	OPC
SLAMF1	7	OPC
C1orf64	4	OPC
PF4V1	0	OPC
SNORD113-7	0	OPC
IFNA21	3	OPC
PNLIPRP3	11	OPC
LOC388813	1	OPC
PGLYRP2	2	OPC
MIR4307	5	OPC
MIR1179	9	OPC
ARHGEF38-IT1	0	OPC
TEX13A	0	OPC
SDC4P	6	OPC
SNORD61	0	OPC
MIR3913-2	4	OPC
TRIML2	6	OPC
OR6S1	3	OPC
ARL14EPL	1	OPC
OR6B3	2	OPC
ZFX-AS1	2	OPC
TARM1	2	OPC
SCGN	1	OPC
MIR3198-1	0	OPC
UGT1A5	9	OPC
MIR4761	3	OPC
C9orf92	11	OPC
CCL15	10	OPC
MIR4524B	1	OPC
FAM3D	1	OPC
MIOX	1	OPC
MIR194-1	0	OPC
SLC2A7	2	OPC
MAGEA12	3	OPC
MIR337	0	OPC
PRM3	3	OPC
SNORD18A	0	OPC
OR4X2	3	OPC
MPC1L	0	OPC
PTF1A	0	OPC
NMRK2	1	OPC
MIR384	5	OPC
CETN1	2	OPC
LINC00333	7	OPC
CD300LD	0	OPC
MIR4741	1	OPC
SPANXN1	7	OPC
MIR612	1	OPC
CRLF2	2	OPC
KIR3DL2	1	OPC
CGB8	1	OPC
PDX1	3	OPC
ECSCR	0	OPC
TTLL10	1	OPC
MIR4305	1	OPC
MIR9-1	1	OPC
WBSCR28	3	OPC
MIR744	1	OPC
RESP18	0	OPC
C9orf173	4	OPC
CALML3	16	OPC
MIR3620	1	OPC
NKG7	1	OPC
APOC3	4	OPC
MIR4730	1	OPC
MIR2681	3	OPC
KRTAP27-1	9	OPC
LOC643441	12	OPC
MIR4798	2	OPC
TEX36	7	OPC
MIR4751	2	OPC
SERPINA7	11	OPC
SNORD105	1	OPC
KRTAP19-4	11	OPC
SIX6	0	OPC
KLK11	7	OPC
LCE2C	1	OPC
TMEM252	1	OPC
GSTA3	1	OPC
PRSS56	4	OPC
TPPP2	2	OPC
SNORD105B	1	OPC
MIR618	4	OPC
DSCR4	8	OPC
SNORD18C	2	OPC
MIR4295	5	OPC
OR4P4	5	OPC
MBD3L2	0	OPC
BHLHE22	0	OPC
IFNA7	6	OPC
BARX1	7	OPC
CLEC4M	6	OPC
POU4F3	3	OPC
IL22RA1	3	OPC
SUPT20HL2	1	OPC
UGT1A9	10	OPC
LOC285768	1	OPC
C6orf222	1	OPC
AMN	0	OPC
C11orf21	1	OPC
TEX13B	2	OPC
STOML3	2	OPC
KIR3DL3	1	OPC
C6orf7	1	OPC
ATXN3L	14	OPC
VN1R4	4	OPC
AKAP4	2	OPC
MAGEA1	7	OPC
C1orf200	6	OPC
DCSTAMP	0	OPC
SOHLH1	1	OPC
OR1Q1	2	OPC
WNT8A	5	OPC
GTSF1	1	OPC
OR5AC2	0	OPC
OR8K3	0	OPC
FEZF2	1	OPC
LOC344887	4	OPC
FLJ40288	0	OPC
LHX5	6	OPC
KRT32	2	OPC
PPBP	4	OPC
HS3ST2	2	OPC
PP12613	0	OPC
OR7C2	0	OPC
CLEC4F	3	OPC
FGF6	9	OPC
OR5T2	0	OPC
HBA2	2	OPC
HBA1	0	OPC
SERPINA12	9	OPC
SNORD108	2	OPC
OR10S1	7	OPC
PIWIL1	3	OPC
IRG1	2	OPC
HOXB7	1	OPC
KRT77	0	OPC
REG1P	5	OPC
OR4K1	1	OPC
OR7C1	2	OPC
GFRA4	0	OPC
KRTAP5-11	0	OPC
OR56B1	4	OPC
MIR1307	1	OPC
CNR2	2	OPC
LOC100287834	4	OPC
DLX2	14	OPC
PSORS1C2	11	OPC
OR4C6	5	OPC
LOC401109	2	OPC
MAGEB18	6	OPC
SERPINB3	1	OPC
KRT25	4	OPC
FOXQ1	3	OPC
MRGPRD	1	OPC
LOC339822	2	OPC
ST8SIA6	1	OPC
TRIM10	14	OPC
APOA5	2	OPC
BOD1L2	2	OPC
RLN3	4	OPC
ZG16B	0	OPC
OR5J2	0	OPC
C19orf59	5	OPC
OR8H1	0	OPC
TNNT3	0	OPC
FRMD1	0	OPC
TBPL2	0	OPC
KISS1	1	OPC
GALP	0	OPC
INSL5	1	OPC
CRH	1	OPC
RBBP8NL	3	OPC
SEMA3G	1	OPC
COLEC10	4	OPC
GPIHBP1	0	OPC
LOC286135	4	OPC
LOC100507362	3	OPC
CRYBA4	1	OPC
FAM26D	5	OPC
DNAJB8-AS1	2	OPC
UPK3A	4	OPC
C7orf34	1	OPC
HTR3D	5	OPC
TWIST2	2	OPC
OR2T35	9	OPC
LIPM	10	OPC
LOC388948	0	OPC
IFITM5	2	OPC
OR6C3	9	OPC
LY86	4	OPC
CLEC1B	16	OPC
OR8A1	1	OPC
FAM83F	9	OPC
CARD17	6	OPC
C16orf11	1	OPC
DKFZp434L192	0	OPC
TAAR5	9	OPC
OR52N2	0	OPC
PRSS1	14	OPC
LOC731779	2	OPC
OR9G1	10	OPC
OR9G9	10	OPC
LOC149950	5	OPC
MAS1L	0	OPC
LOC284080	3	OPC
CSN3	3	OPC
LOC340073	7	OPC
OR6N1	9	OPC
TBC1D21	6	OPC
OR2AP1	4	OPC
OR1G1	3	OPC
KRT83	7	OPC
LOC339568	4	OPC
USP17L18	2	OPC
GABRR3	1	OPC
WNT1	1	OPC
CLEC9A	5	OPC
VN1R10P	5	OPC
SLC17A2	10	OPC
CCDC155	6	OPC
EMCN-IT3	8	OPC
AWAT1	1	OPC
CPLX4	1	OPC
KRTAP4-7	3	OPC
ACTL9	0	OPC
MMP10	1	OPC
FHL5	0	OPC
AKR1C4	0	OPC
OR11H6	5	OPC
P2RY10	8	OPC
PRSS58	6	OPC
LOC730441	0	OPC
TSPAN16	0	OPC
OR6C76	14	OPC
PRDM9	3	OPC
SPNS3	1	OPC
MIR941-3	3	OPC
KRT76	4	OPC
PRAMEF21	4	OPC
DEFB129	5	OPC
PNLIPRP2	1	OPC
RTP2	8	OPC
ACSM2B	6	OPC
IL21	6	OPC
TMEM95	1	OPC
GCG	0	OPC
OR5B17	3	OPC
TMCO5B	2	OPC
SLC6A18	11	OPC
OR1L1	0	OPC
LINC00460	1	OPC
KRTAP5-6	2	OPC
LINC00308	5	OPC
CD200R1L	7	OPC
OR9I1	10	OPC
VSTM1	0	OPC
OR51D1	2	OPC
IL3	1	OPC
LOC100422737	0	OPC
OR9A4	11	OPC
CDC42EP5	4	OPC
NEUROG1	3	OPC
OR8U1	1	OPC
CLEC6A	2	OPC
SERPINB11	2	OPC
LOC201651	0	OPC
POU3F3	5	OPC
RAB19	0	OPC
OR2G3	2	OPC
IQCF2	1	OPC
GUCY2EP	11	OPC
GRXCR1	6	OPC
FOXI1	0	OPC
DEFB114	1	OPC
LOC284661	2	OPC
LOC442497	1	OPC
SMCR9	1	OPC
DEFB107A	4	OPC
DEFB107B	4	OPC
RNASE12	0	OPC
OR4F6	0	OPC
CXorf61	0	OPC
LINC00658	1	OPC
TRAT1	1	OPC
PRAMEF18	2	OPC
PRAMEF19	2	OPC
CCL19	5	OPC
CBLC	1	OPC
WFDC13	2	OPC
PITX2	10	OPC
RHOXF2B	0	OPC
LOC643037	1	OPC
LY6G6E	4	OPC
MAGEB4	11	OPC
KRT34	4	OPC
VAV1	0	OPC
BIRC8	1	OPC
MCCD1	2	OPC
OR6B2	9	OPC
SERPINA11	3	OPC
OR51T1	8	OPC
OR9K2	0	OPC
KRT75	1	OPC
PPP1R2P9	3	OPC
MIR4482-1	1	OPC
LINC00160	0	OPC
KRT16P1	10	OPC
OR1B1	9	OPC
LOC1720	3	OPC
OR2Z1	0	OPC
SERPINB2	5	OPC
BPIFC	0	OPC
HOXD9	1	OPC
SNORA17	0	OPC
XCL2	4	OPC
FAM154A	1	OPC
CD177	3	OPC
CIB3	0	OPC
MMP13	3	OPC
MMP26	1	OPC
IGFL1	4	OPC
KRT39	14	OPC
MYL1	0	OPC
KRTAP7-1	6	OPC
PTH	1	OPC
PSORS1C3	1	OPC
MIR595	1	OPC
BPESC1	1	OPC
USP17L11	2	OPC
AFM	10	OPC
LCE2A	10	OPC
COL18A1-AS2	6	OPC
TNNC1	0	OPC
SCARNA21	0	OPC
FGF19	1	OPC
HOXB1	7	OPC
LCE3D	1	OPC
MIR21	2	OPC
OR4Q3	0	OPC
SNORA37	5	OPC
C17orf82	2	OPC
OR51L1	1	OPC
LOC100128787	1	OPC
FAM24A	5	OPC
IL36RN	1	OPC
C7orf66	0	OPC
CALML5	0	OPC
DEFB119	1	OPC
SLC22A25	6	OPC
USP17L12	3	OPC
USP17L21	3	OPC
LINC00035	0	OPC
DNAJB3	9	OPC
CXCR3	3	OPC
LOC440117	4	OPC
TLX1	6	OPC
LOC400620	0	OPC
EDN2	0	OPC
TECTB	4	OPC
AOAH-IT1	1	OPC
PTTG2	0	OPC
LINC00469	2	OPC
KRT71	3	OPC
APOA2	0	OPC
LOC100129427	0	OPC
HOXC-AS5	2	OPC
OR11H4	0	OPC
SNORD70	1	OPC
TEX19	1	OPC
ADH1C	0	OPC
KRTAP1-1	3	OPC
OR4D11	1	OPC
MIR3679	7	OPC
OR6X1	2	OPC
TLX1NB	2	OPC
DCAF8L1	1	OPC
DEFB132	1	OPC
OR6P1	9	OPC
CXorf27	4	OPC
OR4N5	1	OPC
PRAC	2	OPC
CXCR1	6	OPC
FOXE3	1	OPC
TNFRSF17	0	OPC
HAND1	1	OPC
OR9G4	6	OPC
TMEM8C	1	OPC
THBD	0	OPC
MIR138-1	2	OPC
CRYGC	9	OPC
PMCHL1	3	OPC
MAS1	2	OPC
OR2V1	0	OPC
MIR3115	0	OPC
TDO2	0	OPC
VCX3A	0	OPC
OR5C1	0	OPC
PI3	5	OPC
MIR3616	1	OPC
NTF4	0	OPC
SATB2-AS1	1	OPC
TSGA10IP	0	OPC
C9orf106	1	OPC
LOC146481	0	OPC
FAM153B	5	OPC
PRODH2	2	OPC
MIR1972-1	4	OPC
MIR1972-2	4	OPC
MIR3940	3	OPC
CPXCR1	0	OPC
RNASE10	4	OPC
SLC25A47	8	OPC
VAX2	0	OPC
MIR626	0	OPC
TBX20	0	OPC
IFNA6	0	OPC
OTOP2	0	OPC
ADCYAP1	3	OPC
LINC00489	1	OPC
LINC00710	0	OPC
AP1B1P1	0	OPC
LCN8	9	OPC
NPPB	0	OPC
OR8B8	2	OPC
LELP1	3	OPC
KLRF2	3	OPC
IFNL1	1	OPC
APOA4	6	OPC
LINC00841	0	OPC
MIR604	0	OPC
MIR3120	0	OPC
OR7G3	7	OPC
OR5K4	5	OPC
MIR3618	0	OPC
AWAT2	5	OPC
PRAMEF12	9	OPC
MIR920	1	OPC
SNORD9	0	OPC
BHLHA15	0	OPC
OCSTAMP	4	OPC
VGLL1	3	OPC
OR10X1	0	OPC
OR5K2	0	OPC
MIR4803	0	OPC
RNASE13	4	OPC
SMPX	6	OPC
LCE3E	3	OPC
CCL11	6	OPC
TMPRSS4-AS1	2	OPC
DSCR8	0	OPC
SNORA11C	0	OPC
LINC00301	0	OPC
GZMH	0	OPC
SLC38A8	0	OPC
MIR514A2	8	OPC
MIR514A3	8	OPC
BPIFB1	0	OPC
MSLN	0	OPC
PLA2G2F	4	OPC
LINC00474	5	OPC
LCE1A	1	OPC
SNORD67	0	OPC
MIR1289-2	2	OPC
LOC340357	0	OPC
OR4K5	0	OPC
SNORD38A	0	OPC
SNAR-F	0	OPC
SNORD65	1	OPC
MIR3648	0	OPC
MIR578	0	OPC
ZNRF4	0	OPC
SNORD18B	2	OPC
IL17C	7	OPC
MIR1231	0	OPC
MIR589	2	OPC
MIR4744	1	OPC
KRTAP10-11	6	OPC
LINC00656	0	OPC
